Question	Answer	Source
Has there been thought of creating a calendar for Mars?	Many people have considered how humans might keep time on Mars. You can read more at:[› Martian Timekeeping](http://cmex.ihmc.us/cmex/data/MarsCalendar/index.html)[› Planetary Society:Mars Calendar](http://www.planetary.org/explore/topics/mars/calendar.html)[› Mars Seasons](http://quest.arc.nasa.gov/qna/questions/Mars_Seasons.htm)[› Download a Mars rover calendar from 2009-2010 (PDF)](http://marsrover.nasa.gov/home/calendar/MER-2009-2010-calendar.pdf)	https://www.nasa.gov/offices/marsplanning/faqs/
I wonder if the Mars Curiosity mission will transmit real-time data to the Internet so the public can have access to it. It would really spark a lot of interest.	\n\nAs with other Mars missions, you can access data from Curiosity. Visit [http://mars.jpl.nasa.gov/msl](http://mars.jpl.nasa.gov/msl). Additionally, a new way of following the day-to-day discoveries on Mars is available through an online virtual experience called [Curiosity's Journey](http://mars.jpl.nasa.gov/explore/curiosity/).\n\nLearn more about the way communications are handled between Earth and Mars at [MSL: Communication With Earth](http://mars.jpl.nasa.gov/msl/mission/communicationwithearth/). For a more detailed look at how this will work during Curiosity's surface operations, see the Mars Science Laboratory Landing Press Kit available for download at the [MSL Newsroom](http://mars.jpl.nasa.gov/msl/news/newsroom/)\n	https://www.nasa.gov/offices/marsplanning/faqs/
Will Curiosity explore microbial life on Mars? Is there any evidence that once there had been life on Mars?	\n\nWhether life has existed on Mars is an open question that this mission, by itself, is not designed to answer. Curiosity does not carry experiments to detect active processes that would signify present-day biological metabolism, nor does it have the ability to image microorganisms or their fossil equivalents. However, if this mission finds that the field site in Gale Crater has had conditions favorable for habitability and for preserving evidence about life, those findings can shape future missions that would bring samples back to Earth for life-detection tests or for missions that carry advanced life-detection experiments to Mars.\n\nIn this sense, the Mars Science Laboratory is the prospecting stage in a step-by-step program of exploration, reconnaissance, prospecting and mining evidence for a definitive answer about whether life has existed on Mars. NASA's Astrobiology Program has aided in development of the Mars Science Laboratory science payload and in studies of extreme habitats on Earth that can help in understanding possible habitats on Mars.\n\n\n### Human Spaceflight\n\n	https://www.nasa.gov/offices/marsplanning/faqs/
Who will get to go to Mars?	You could go to Mars! Astronauts have a variety of science, technology, engineering and mathematics backgrounds, and an even broader group of people on Earth will support Mars exploration missions! NASA will need people to help us learn how to prepare for the journey, grow food during the trip, handle recycling needs and build systems to take us to Mars and support systems here on Earth. We also will need experts in software development and communications systems.	https://www.nasa.gov/offices/marsplanning/faqs/
What possible landing sites are being considered for human habitation?	There are many possible landing sites of scientific interest. Current robotic missions on Mars are helping NASA scientists learn about the Martian surface and its environment. This information will help us select the actual site. That site will depend on many factors, including terrain, soil and surface properties; areas of science priority; and access to and quality of local resources.	https://www.nasa.gov/offices/marsplanning/faqs/
Does NASA plan to make human missions to Mars a round trip?	Absolutely. We want our crews to return with valuable scientific insights. Also, their unique learning experiences will greatly benefit future missions to the Red Planet.	https://www.nasa.gov/offices/marsplanning/faqs/
When will the first human mission to Mars be?	NASA currently is working to build the systems to take astronauts beyond low Earth orbit. NASA is working to meet the President's goal to send humans to Mars in the 2030s. We are developing the technology we will need and designing safety measures to protect our astronauts from the harsh environment beyond low Earth orbit.	https://www.nasa.gov/offices/marsplanning/faqs/
How long will it take to get to Mars?	It depends on how you go, what kind of rocket is used and what technologies are available. With current technology, our robotic missions usually take about 8 months to travel to Mars. We are exploring options that will minimize the duration of a human trip to Mars.	https://www.nasa.gov/offices/marsplanning/faqs/
How long will a mission to Mars last?	Earth's and Mars' orbit around the sun allow for an opportunity to embark to Mars about every 26 months. There are two scenarios for going to Mars and returning to Earth. The first requires astronauts to remain on Mars for only a few weeks before returning. The second scenario will see astronauts spending over a year on the Red Planet. The overall mission duration ranges from about a year to close to three years.	https://www.nasa.gov/offices/marsplanning/faqs/
What are the dangers to humans on Mars (dust, gravity, radiation, etc.)?	Any mission that takes humans beyond the safety of Earth includes hazards. [Entry through Mars' atmosphere and landing on the planet is a challenge in itself.](http://www.nasa.gov/multimedia/videogallery/index.html?media_id=146903741) NASA still is learning about the environment on Mars, including radiation levels and dust. In fact, the Mars Science Laboratory spacecraft will take important measurements during the course of entry and descent through the atmosphere, and the Curiosity rover will measure the radiation environment on the surface. Curiosity also carries instruments to measure the characteristics of Martian soil.	https://www.nasa.gov/offices/marsplanning/faqs/
How will a Mars spacesuit differ from those used in low-Earth orbit or on the moon?	Spacesuits used in low Earth orbit are designed for microgravity. The gravity on Mars is about one-third of the gravity on Earth. Spacesuits for Mars also will be designed for walking on the surface and performing science and other activities.	https://www.nasa.gov/offices/marsplanning/faqs/
What kind of spacecraft will be used to get to Mars?	It won't be just one spacecraft. We are going to need to take enough parts that allow us to travel safely over long times and distances. These different parts include a habitat for the crew to live and work in as well as the spacecraft for the crew to launch from Earth and also be able to land when we return.	https://www.nasa.gov/offices/marsplanning/faqs/
Is the moon being considered as a gateway or springboard to Mars?	NASA is busy building the next generation of spacecraft that will take humans further into the solar system than ever before. Although the lessons learned from our trips to the moon will greatly enhance our understanding of exploring planets other than our own, our current focus is to travel to a near-Earth asteroid by 2025 and then on to Mars after that.	https://www.nasa.gov/offices/marsplanning/faqs/
Are robotic precursor missions to scout and supply future human missions being considered?	Yes. The robotic missions that NASA has flown to Mars already have provided us with valuable information that will help in planning for the first human mission to Mars.	https://www.nasa.gov/offices/marsplanning/faqs/
Do we have the technology today to get to Mars?	NASA does have the rocket technology to get humans to Mars. However, current technology is not advanced enough to get us there efficiently. We are continuing to develop technologies to improve that efficiency. Another challenge we are actively working to overcome is the heat shield that will be needed to protect the returning capsule as it passes through Earth's atmosphere.	https://www.nasa.gov/offices/marsplanning/faqs/
Is NASA planning to establish a permanent settlement on Mars?	NASA has conducted several studies on the feasibility of establishing a permanent settlement on Mars. At this time, we are not looking to implement such a plan. We will be in a better position to evaluate such a plan after we have perfected the ability to go to Mars and return safely, as well as ensuring that we have the technology to create the necessary resources while on the Red Planet to survive.	https://www.nasa.gov/offices/marsplanning/faqs/
What kind of fuel is NASA considering for a trip to Mars?	NASA is evaluating several different kinds of fuel for trips to Mars. Options include nuclear thermal, nuclear electric, solar electric and various chemical propellants.	https://www.nasa.gov/offices/marsplanning/faqs/
How will NASA send or create the resources necessary for humans on Mars?	\n\nNASA is looking at a variety of options to sustain human exploration on Mars. Although it is possible to carry all the necessary resources with us for a trip to and from Mars, it is not feasible. The weight of all of those resources would preclude an efficient launch. As such, NASA is looking at ways to extract resources such as oxygen and water from the Martian atmosphere and soil. We also are looking at ways to create other necessities like fuel and food from the natural resources found on the Red Planet.\n\n\n### Technology and Partnerships\n\n	https://www.nasa.gov/offices/marsplanning/faqs/
How can we reduce the travel time to Mars?	In-space propulsion is a key technology hurdle to shorten a trip to Mars. NASA's [In-Space Propulsion Systems Roadmap (PDF)](http://www.nasa.gov/pdf/501329main_TA02-ID_rev3-NRC-wTASR.pdf) included a good discussion on this topic.	https://www.nasa.gov/offices/marsplanning/faqs/
Why can't we have a live video feed from Mars?	NASA is working on laser communications technology that will improve data rates in space. Current data transmission capabilities do not allow for live video feed from deep space. Read more about this new technology at the [Deep Space Optical Communications Project website](http://gcd.larc.nasa.gov/projects/deep-space-optical-communications/).	https://www.nasa.gov/offices/marsplanning/faqs/
How can humans survive on Mars? What are the requirements for humans to survive on another planet?	\n\nIntriguing questions. In one way the answer is obvious, but there is much more depth as soon as one gives it some thought. I expect a Ph.D. student could write a whole dissertation on the subject, so I'll just summarize some ideas here. You get to cherry-pick the useful ones and expand on them.\n\nThe obvious answer is that since humans have lived for long periods in Earth orbit, in the ocean depths, and for short periods on the Moon, it seems we can live anywhere that we can supply air, water, and food.\n\nFor long durations, we must add spare parts for life support systems to the other items. So living anywhere requires funding to pay for the materials necessary (at a minimum, air, water, and food) and their transport, as well as the infrastructure to manufacture the systems to transport the necessities to the human outpost.\n\nIf the goal is to limit the necessity for constantly supplying the outpost with the necessities, the question still comes down to how much materiel is sent to the outpost initially vs. how hospitable the planet having the outpost is. Suppose we want an outpost on a giant icy moon of Jupiter's. With sufficient available power (solar, or some other source) and an air-tight habitat, colonists could grow plants hydroponically (provides food and clears the air of carbon dioxide while producing oxygen) and melt the ice for water lost in the recycling process. Some of the water could be broken down to free additional oxygen for breathing and to replace losses. Radiation protection would have to be built into the habitat too. All this could be done.\n\nA more hospitable planet could still be cold enough that the only water is ice (which could be melted) but some atmosphere would be good, at least as thick Earth's atmosphere at the bottom of the "death zone" recognized by Himalayan mountain climbers. People could then survive in an atmosphere that doesn't support life by wearing oxygen masks, but not pressure suits.\n\n(I don't know at what altitude a pressure suit would be required; it is probably higher than the base of the death zone. Note that the atmosphere cannot be poisonous; that's different from not supporting life. Chlorine gas is poisonous and will hurt organs and kill people. Nitrogen, the largest fractional component of Earth's atmosphere, won't support life but doesn't damage us.)\n\nJust how warm a planet would be live-able is not obvious to me. Venus is too hot, but a planet that had Death Valley temperatures everywhere might still be live-able, if there is accessible water.\n\nAstronomers looking for exoplanets want to find Earth-like planets in the habitable zone, where temperatures permit liquid water to be present on the exoplanets' surfaces. This is a reasonable shorthand way of describing the requirements for a habitable planet, but it doesn't take into account that both nature and humans can create small habitats suitable for life in what would otherwise be considered very extreme conditions.\n\nI hope this discussion helps you narrow down your question, or inspires you to consider more of the possibilities.\n\nStephen Edberg NASA Jet Propulsion Laboratory California Institute of Technology\n	https://solarsystem.nasa.gov/planets/mars/faq
When will people go to Mars?	\n\nCurrently there are not any planned human missions to Mars, but there are several concept missions that will help pave the way for humans to visit Mars in the future.	https://solarsystem.nasa.gov/planets/mars/faq
Why is Mars heavily cratered?	Mars does not have a sufficient (big enough) atmosphere to protect it from impacts by such objects as meteorites, asteroids and comets. Also, Mars is not as active a planet as the Earth is, for example, so there isn't enough activity (such as volcanic, water erosion, or other forms of resurfacing) to cover over craters.	https://solarsystem.nasa.gov/planets/mars/faq
How much would I weigh on Mars?	Since Mars has less gravity than Earth, you would weigh 62% less than you do here on Earth.	https://solarsystem.nasa.gov/planets/mars/faq
How far is Mars from the Earth?	Mars and the Earth are at their closest point to each other about every two years, with a distance of about 56 million km (34.8 million miles) between them at that time. The farthest that the Earth and Mars can be apart is: 401 million km (249 million miles). This is due to the fact that both Mars and the Earth have elliptical orbits and Mars' orbit is tilted in comparison with the Earth's. They also orbit the sun at different rates.	https://solarsystem.nasa.gov/planets/mars/faq
Is Mars really red?	Yes, this is due to iron in the soil. This iron rusts and causes the surface and the sky (from kicked up dust) to take on a reddish color. This is why Mars is called the Red Planet.	https://solarsystem.nasa.gov/planets/mars/faq
Are there aliens or Martians on Mars?	No, at least none have been found. So far we have not found any evidence of life (in any form) on Mars.	https://solarsystem.nasa.gov/planets/mars/faq
Is there water on Mars?	Yes, but the Martian atmosphere is too thin for liquid water to exist for long on the surface. Water on Mars is found in the form of water-ice just under the surface in the polar regions and in hypothesized briny (salty) water, which seasonally flows in other areas on Mars.	https://solarsystem.nasa.gov/planets/mars/faq
How hot does it get on Mars? How cold?	The temperature on Mars can be as high as 70 degrees Fahrenheit (20 degrees Celsius) or as low as about -225 degrees Fahrenheit (-153 degrees Celsius).	https://solarsystem.nasa.gov/planets/mars/faq
How long is a year on Mars?	It takes Mars nearly two (1.9) Earth years to complete one year on Mars.	https://solarsystem.nasa.gov/planets/mars/faq
How long is a day on Mars?	Actually very similar to the length of an Earth day. A day on Mars only takes 24.623 hours.	https://solarsystem.nasa.gov/planets/mars/faq
How many hours is a day on Mars?	Actually very similar to the length of an Earth day. A day on Mars only takes 24.623 hours.	https://solarsystem.nasa.gov/planets/mars/faq
How many earth day in Mars' year?	Actually very similar to the length of an Earth day. A day on Mars only takes 24.623 hours.	https://solarsystem.nasa.gov/planets/mars/faq
How many missions have visited the Red Planet?	Quite a few: [Missions to Mars](https://solarsystem.nasa.gov/planets/mars/missions/profile.cfm?Sort=Target&amp;Target=Mars&amp;Era=Present)	https://solarsystem.nasa.gov/planets/mars/faq
How big is Mars?	Mars is about half as big as the Earth: Mars is 6,779 km (4,212.28 miles) across (diameter).	https://solarsystem.nasa.gov/planets/mars/faq
Does Mars have an atmosphere?	Yes, but Mars' atmosphere is thin.	https://solarsystem.nasa.gov/planets/mars/faq
Are there seasons (spring, summer, winter, fall) on Mars?	Mars has seasons similar to those of the Earth, but longer. The seasons on Mars last about twice as long as those on Earth. However, the length of each season is not exactly the same since Mars has a slightly more elliptical orbit around the sun than does Earth. Spring in the northern hemisphere (autumn in the southern) is the longest season at 194 Sols (Martian days). Autumn in the northern hemisphere (spring in the southern) is the shortest at 142 days. Northern winter/southern summer is 154 Sols, and northern summer/southern winter is 178 Sols. That brings a Martian year to 668 Sols (or about 687 Earth days, about twice as long as an Earth year). A year, of course, is the time it takes for a planet to orbit once around the sun.	https://solarsystem.nasa.gov/planets/mars/faq
Does Mars have any moons?	Yes, Mars have two moons. Their names are Phobos and Deimos.	https://solarsystem.nasa.gov/planets/mars/faq
Does Mars have a magnetic field?	Mars does not have a global magnetic field, but NASA's Mars Global Surveyor (MGS) orbiter found that areas of the Martian crust in the southern hemisphere are highly magnetized.	https://solarsystem.nasa.gov/planets/mars/faq
What's the difference between climate change and global warming?	Global temperature rise from 1880 to 2015. Higher-than-normal temperatures are shown in red and lower-than-normal temperatures are shown in blue. Each frame represents global temperature anomalies (changes) averaged over the five years previous to that particular year. Credit: NASA Goddard Space Flight Center/NASA Scientific Visualization Studio/NASA Goddard Institute for Space Studies. \n\n"Global warming" refers to the long-term warming of the planet. Global temperature shows a well-documented rise since the early 20th century and most notably since the late 1970s. Worldwide, since 1880 the average surface temperature has gone up by about 0.8 °C (1.4 °F), relative to the mid-20th-century baseline (of 1951-1980). \n\n"Climate change" encompasses global warming, but refers to the broader range of changes that are happening to our planet. These include rising sea levels, shrinking mountain glaciers, accelerating ice melt in Greenland, Antarctica and the Arctic, and shifts in flower/plant blooming times. These are all consequences of the warming, which is caused mainly by people burning fossil fuels and putting out heat-trapping gases into the air. The terms "global warming" and "climate change" are sometimes used interchangeably, but strictly they refer to slightly different things.\n\nREAD MORE\n\n*   [NASA finds 2013 sustained long-term climate warming trend](http://www.giss.nasa.gov/research/news/20140121/)\n*   [Five-year global temperature anomalies from 1880 to 2013](http://svs.gsfc.nasa.gov/cgi-bin/details.cgi?aid=4135)	https://climate.nasa.gov/faq/
What's the difference between weather and climate?	Credit: Creative Travel Projects/Shutterstock.com Some people say "weather is what you get" and "climate is what you expect." "Weather" refers to the more local changes in the climate we see around us, on short timescales from minutes to hours to days to weeks. Examples are familiar - rain, snow, clouds, winds, thunderstorms, heat waves and floods. "Climate" refers to longer-term averages (they may be regional or global), and can be thought of as the weather averaged over several seasons, years or decades. Climate change is harder for us to get a sense of because the timescales involved are much longer, and the impact of climate changes can be less immediate. Examples of climate change include several drier-than-normal summers, a trend of, say, winters becoming milder from our grandparents' childhood to our own, or variations in effects like El Niño or La Niña.\n\nREAD MORE\n\n*   [Just 5 questions: Weather vs. climate](http://climate.nasa.gov/news/337/)	https://climate.nasa.gov/faq/
Is the sun causing global warming?	\n\nNo. The sun can influence the Earth's climate, but it isn't responsible for the warming trend we've seen over the past few decades. The sun is a giver of life; it helps keep the planet warm enough for us to survive. We know subtle changes in the Earth's orbit around the sun are responsible for the comings and goings of the ice ages. But the warming we've seen over the last few decades is too rapid to be linked to changes in Earth's orbit, and too large to be caused by solar activity. In fact, recently (2005-2010) the sun has become less active, while temperatures have marched upwards.\n\nOne of the "smoking guns" that tells us the sun is not causing global warming comes from looking at the amount of the sun's energy that hits the top of the atmosphere. Since 1978, scientists have been tracking this using sensors on satellites and what they tell us is that there has been no upward trend in the amount of the sun's energy reaching Earth.\n Global surface temperature (top, blue) and the sun's energy received at the top of Earth's atmosphere (red, bottom), from 1978 to 2009. The amount of solar energy received at the top of our atmosphere has followed its natural 11-year cycle of small ups and downs, but with no net increase. Over the same period, global temperature has risen markedly. It is therefore extremely unlikely that the sun has been behind the global temperature trend we've seen over several decades. Credit: NOAA National Climatic Data Center. \n\nA second smoking gun is that if the sun were responsible for global warming, we would expect to see warming throughout all layers of the atmosphere, from the surface all the way up to the upper atmosphere (stratosphere). But what we actually see is warming at the surface and cooling in the stratosphere. This is consistent with the warming being caused by a build-up of heat-trapping gases near the surface of the Earth, and not by the sun getting "hotter."\n\nREAD MORE\n\n*   [Sun & climate: moving in opposite directions](http://www.skepticalscience.com/solar-activity-Sunspots-global-warming-intermediate.htm)	https://climate.nasa.gov/faq/
